번호,지역,도서관명,주소,운영상태,홈페이지
324,서울,서울 중랑구 묵1동 작은도서관,서울특별시 중랑구 묵1동 174-3 ,시행중 ,"http://smlib.jungnanglib,seoul.kr "
323,서울,서울 중랑구 면목7동 작은도서관,서울특별시 중랑구 면목7동 626-11 ,시행중 ,"http://smlib.jungnanglib,seoul.kr "
322,서울,서울 중랑구 상봉1동 작은도서관,서울특별시 중랑구 상봉1동 204-1 ,시행중 ,"http://smlib.jungnanglib,seoul.kr "
321,서울,서울 도담도담한옥도서관,서울특별시 종로구 숭인동길 43 ,시행중 ,http://lib.jongno.go.kr 
320,서울,서울 삼청공원숲속도서관,서울특별시 종로구 북촌로 134-3 (삼청공원내) ,시행중 ,http://lib.jongno.go.kr 
319,서울,서울 숭인마루작은도서관,서울특별시 종로구 지봉로86(숭인1동 주민센터3층) ,시행중 ,http://lib.jongno.go.kr 
318,서울,서울 창이작은도서관,서울특별시 종로구 창신길62 (창신2동 주민센터2층) ,시행중 ,http://lib.jongno.go.kr 
317,서울,서울 창신1동하람작은도서관,서울특별시 종로구 지봉로 8-6(창신1동 주민센터 2층) ,시행중 ,http://lib.jongno.go.kr 
316,서울,서울 혜화마을북카페,서울특별시 종로구 혜화로 12 (혜화동 자치회관 4층) ,시행중 ,http://lib.jongno.go.kr 
315,서울,서울 이화마을작은도서관,서울특별시 종로구 이화동 이화장길 33(이화동 주민센터 2층) ,시행중 ,http://lib.jongno.go.kr 
314,서울,서울 지혜만들기작은도서관,"서울특별시 종로구 종로35가길 19(종로5,6가동 주민센터3층) ",시행중 ,http://lib.jongno.go.kr 
313,서울,서울 홍파랑북카페,서울특별시 종로구 송월길 154(교남동 주민센터 2층) ,시행중 ,http://lib.jongno.go.kr 
312,서울,서울 무악다솜방,서울특별시 종로구 무악동 주민센터2층 ,시행중 ,http://lib.jongno.go.kr 
311,서울,서울 꿈꾸는평창동작은도서관,서울특별시 종로구 세검정로 347(평창동 주민센터 2층) ,시행중 ,http://lib.jongno.go.kr 
310,서울,서울 청운효자동북카페,서울특별시 종로구 자하문로 92(청운효자동 주민센터2층) ,시행중 ,http://lib.jongno.go.kr 
309,서울,서울 통인어린이작은도서관,서울특별시 종로구 자하문로 13길 20 ,시행중 ,http://lib.jongno.go.kr 
308,서울,서울 작은도서관삼봉서랑,서울특별시 종로구 종로구청 본관1층 ,시행중 ,http://lib.jongno.go.kr 
307,서울,서울 아름꿈도서관,서울특별시 종로구 종로58가길 19 ,시행중 ,http://lib.jongno.go.kr 
306,서울,서울 청운문학도서관,서울특별시 종로구 자하문로 36길 40 ,시행중 ,http://lib.jongno.go.kr 
305,서울,서울 중랑구 망우3동 작은도서관,서울특별시 중랑구 망우3동 454-7 ,시행중 ,"http://smlib.jungnanglib,seoul.kr "
